gene	parentterm	Sider_MI	Sider_drug	OT_MI	OT_maxPhaseForIndication	OT_drug	phenotype_omim	phenotype_coloc	phenotype_eqtl_Pheno	phenotype_coloc_tissue	phenotype_Pheno_hgmd	phenotype_Pheno_genebass	Opentargets_Pheno_eva	Opentargets_OTG_lessL2G	genescores_Tissuespecific_PT_V80.01	phenotype_eqtl_tissue	genescores_oe_dichotomized	genescoresum	Number_predictors	order	percent	category	parentterm_description	Clinvar_phenotype_description	Colocpheno_phenotype_description	Coloctissue_phenotype_description	Eqtlpheno_phenotype_description	Eqtltissue_phenotype_description	Genebass_phenotype_description	Hgmd_phenotype_description	Omim_phenotype_description	OTG_less_l2g_phenotype_description	Druggable_gene	OR_cutoff	therapeutic
LRRC37A	401	NA	NA	NA	NA	NA	0	1	1	1	0	0	0	0	1	1	0	1.88682435897245	5	6844870	99.849165816948	circulatory system	Hypertension	0	Non-cancer illness code, self-reported: hypertension;Essential hypertension;Hypertension	ArteryAorta;Lung	Essential hypertension,Hypertension	ArteryAorta;Lung	0	0	0	0	Not druggable	6	0
VPS33B	476	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0	1.5227473765974	2	6833628	99.6851737583531	respiratory	Allergic rhinitis	0	Non-cancer illness code, self-reported: hayfever/allergic rhinitis;Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	0	Doctor diagnosed hayfever or allergic rhinitis	0	0	0	0	0	Not druggable	6	0
PLD1	550	NA	NA	NA	NA	NA	1	0	0	1	0	1	0	0	0	0	0	1.23389794530968	3	6799563	99.1882524386561	digestive	Abdominal hernia	0	0	Stomach	0	0	Date K43 first reported (ventral hernia)	0	cardiac valvular defect, developmental, 212093 (3)	0	DRUGGABLE GENOME	5	0
SOX4	530	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	0	0	0	1.20748821853404	2	6796457	99.1429438339599	digestive	Diseases of esophagus	0	0	EsophagusMuscularis	0	0	0	0	0	Eosinophilic esophagitis	Not druggable	5	0
KIAA0753	749	NA	NA	NA	NA	NA	1	0	0	0	1	0	1	0	0	0	0	1.95104858282684	3	6846259	99.8694277782883	congenital anomalies	Congenital anomalies of face and neck	Orofaciodigital syndrome XV	0	0	0	0	0	oral-facial-digital syndrome	short-rib thoracic dysplasia 21 without polydactyly, 619479 (3)	0	Not druggable	6	0
DRD2	315	mental retardation; mental disability	trifluoperazine; risperidone; zuclopenthixol; thiothixene	neurodevelopmental disorder	3	risperidone	0	0	0	1	1	0	0	0	1	0	0	1.14339260096788	3	6789432	99.0404670316445	mental disorders	Develomental delays and disorders	0	0	MinorSalivaryGland	0	0	0	developmental disorder	0	0	DRUGGABLE GENOME	5	1
NIPA2	250	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6750562	98.4734530379084	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: type 2 diabetes	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus)	0	0	0	Not druggable	4	0
HDHD3	250	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6811183	99.357758551525	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: diabetes	ArteryTibial;BrainFrontalCortexBA9	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	0	Not druggable	5	0
SPCS2	250	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6801184	99.2118986872758	endocrine/metabolic	Diabetes mellitus	0	0	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus)	0	0	Type 2 diabetes	Not druggable	5	0
UBASH3B	411	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	1	0	1.32640877438357	5	6822073	99.5166158294202	circulatory system	Ischemic Heart Disease	0	Ischemic Heart Disease	AdiposeSubcutaneous;AdiposeVisceralOmentum	0	AdiposeSubcutaneous;AdiposeVisceralOmentum;BreastMammaryTissue	Date I21 first reported (acute myocardial infarction);Date I20 first reported (angina pectoris);Date I24 first reported (other acute ischaemic heart diseases)	0	0	0	Not druggable	5	0
PPP1R18	250	NA	NA	NA	NA	NA	0	1	1	1	0	1	0	1	0	1	0	3.02060741813433	6	6854340	99.9873089227026	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: diabetes;Eye problems/disorders: Diabetes related eye disease;Type 1 diabetes with ketoacidosis;Type 1 diabetes;Type 2 diabetes with ophthalmic manifestations;Type 2 diabetes;Diabetic retinopathy;Diabetes mellitus	ArteryTibial	Type 1 diabetes mellitus,Type 2 diabetes mellitus,Type 1 diabetes with ophthalmic manifestations,Type 1 diabetes,Diabetes mellitus,Diabetic retinopathy,Type 1 diabetes with ketoacidosis,Type 2 diabetes,Started insulin within one year diagnosis of diabetes,Diabetes diagnosed by doctor	ArteryTibial	Date E11 first reported (non-insulin-dependent diabetes mellitus)	0	0	Type 1 diabetes and autoimmune thyroid diseases	Not druggable	6	0
FGA	444	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6803597	99.2470981924697	circulatory system	Arterial embolism and thrombosis	0	0	0	0	0	Date I74 first reported (arterial embolism and thrombosis)	0	0	Venous thromboembolism;Thrombosis	DRUGGABLE GENOME	5	0
POPDC2	743	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6818940	99.4709133637044	musculoskeletal	Osteoporosis, osteopenia and pathological fracture	0	Fractured bone site(s): Other bones	NerveTibial	0	0	Date M81 first reported (osteoporosis without pathological fracture)	0	0	0	Not druggable	5	0
DUS3L	315	NA	NA	NA	NA	NA	0	0	0	1	1	0	0	0	0	0	0	0.992945238071303	2	6766719	98.709142389511	mental disorders	Develomental delays and disorders	0	0	Prostate;Thyroid	0	0	0	developmental disorder	0	0	Not druggable	4	0
MCTP2	550	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	1	0	0	1.11277915490509	3	6788503	99.0269152950821	digestive	Abdominal hernia	0	Diagnoses - main ICD10: K44 Diaphragmatic hernia	0	0	0	Date K43 first reported (ventral hernia);Date K46 first reported (unspecified abdominal hernia)	0	0	0	Not druggable	5	0
ADCYAP1R1	427	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6760893	98.6241559339539	circulatory system	Cardiac dysrhythmias	0	Other specified cardiac dysrhythmias	0	0	0	Date I48 first reported (atrial fibrillation and flutter)	0	0	0	DRUGGABLE GENOME	4	0
C6	939	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6829751	99.6286182334312	dermatologic	Atopic/contact dermatitis due to other or unspecified	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	MuscleSkeletal	0	0	Date L27 first reported (dermatitis due to substances taken internally)	0	0	0	DRUGGABLE GENOME	5	0
TGM2	743	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6806938	99.2958348467808	musculoskeletal	Osteoporosis, osteopenia and pathological fracture	0	Fractured bone site(s): Other bones	NerveTibial	0	0	Date M81 first reported (osteoporosis without pathological fracture)	0	0	0	DRUGGABLE GENOME	5	0
COG7	752	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0.898567740457355	2	6735762	98.2575588494007	congenital anomalies	Nervous system congenital anomalies	0	0	0	0	0	Date Q05 first reported (spina bifida)	0	congenital disorder of glycosylation, type iie, 608779 (3)	0	Not druggable	4	0
IL21	555	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	1	0	0	0	1.35865334576234	2	6823323	99.5348501358821	digestive	Inflammatory bowel disease and other gastroenteritis and colitis	0	0	0	0	0	0	0	?immunodeficiency, common variable, 11, 615767 (3)	Crohn's disease;Ulcerative colitis [EA];Pediatric autoimmune diseases	DRUGGABLE GENOME	5	0
PARP8	300	NA	NA	NA	NA	NA	0	0	1	1	0	0	0	0	0	1	0	1.18611761244409	3	6795548	99.1296838463008	mental disorders	Anxiety disorders	0	0	ArteryAorta;EsophagusMuscularis	Irritability	ArteryAorta;EsophagusMuscularis	0	0	0	0	DRUGGABLE GENOME	5	0
RD3	362	NA	NA	NA	NA	NA	0	0	0	0	1	0	1	0	0	0	0	1.46455325074622	2	6831313	99.6514038227859	sense organs	Other retinal disorders	Leber congenital amaurosis 12	0	0	0	0	0	retinitis pigmentosa%2c autosomal recessive/leber congenital amaurosis;retinitis pigmentosa%2c autosomal recessive;retinitis pigmentosa	0	0	Not druggable	6	0
B3GNT6	401	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753080	98.510184224845	circulatory system	Hypertension	0	Hypertension	0	0	0	Date I10 first reported (essential (primary) hypertension);Date I11 first reported (hypertensive heart disease)	0	0	0	Not druggable	4	0
HLA-DOA	512	NA	NA	NA	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0.972487992965613	1	6765145	98.6861817508143	respiratory	Other symptoms of respiratory system	0	0	0	Wheeze or whistling in the chest in last year	0	0	0	0	0	Not druggable	4	0
TMPRSS11A	320	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6808219	99.3145213640428	neurological	Meningitis	0	Non-cancer illness code, self-reported: meningitis	Testis	0	0	Date G03 first reported (meningitis due to other and unspecified causes)	0	0	0	DRUGGABLE GENOME	5	0
PRR5L	426	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6772393	98.7919115534024	circulatory system	Cardiac conduction disorders	0	Bundle branch block	MuscleSkeletal;ArteryTibial;BrainCaudatebasalganglia	0	0	0	0	0	0	Not druggable	5	0
GTSF1L	411	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6750383	98.4708418852231	circulatory system	Ischemic Heart Disease	0	Diagnoses - main ICD10: I25 Chronic ischaemic heart disease	0	0	0	Date I21 first reported (acute myocardial infarction);Date I24 first reported (other acute ischaemic heart diseases)	0	0	0	Not druggable	4	0
KCNT1	315	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	0	1.14411036529961	2	6789894	99.0472064313128	mental disorders	Develomental delays and disorders	0	0	0	0	0	0	moderate intellectual disability with autism spectrum disorder%2c speech delay and seizures;epilepsy of infancy with migrating focal seizures	epilepsy nocturnal frontal lobe, 5, 615005 (3);developmental and epileptic encephalopathy 14, 614959 (3)	0	DRUGGABLE GENOME	5	0
SHC2	340	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6756612	98.5617070811835	neurological	Migraine	0	Pain type(s) experienced in last month: Headache	0	0	0	Date G43 first reported (migraine)	0	0	0	Not druggable	4	0
CENPE	345	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	1	0.953731847225098	3	6738603	98.2990017811271	neurological	Epilepsy, recurrent seizures, convulsions	0	0	0	0	0	0	west syndrome	?microcephaly 13, primary, autosomal recessive, 616051 (3)	0	Not druggable	4	0
HKDC1	250	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	1	0	0	0	1.83448980569024	3	6843843	99.834184510759	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: diabetes;Type 2 diabetes;Diabetes mellitus	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	Type 2 diabetes	DRUGGABLE GENOME	6	0
FAM20A	743	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6815493	99.4206304402053	musculoskeletal	Osteoporosis, osteopenia and pathological fracture	0	Osteoporosis	NerveTibial	0	0	Date M81 first reported (osteoporosis without pathological fracture)	0	0	0	DRUGGABLE GENOME	5	0
VPS9D1	716	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6743327	98.3679128721075	musculoskeletal	Other arthropathies	0	Unspecified monoarthritis;Arthropathy NOS;Other arthropathies	0	0	0	Date M17 first reported (gonarthrosis [arthrosis of knee]);Date M12 first reported (other specific arthropathies)	0	0	0	Not druggable	4	0
PCSK6	550	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6829700	99.6278742737276	digestive	Abdominal hernia	0	Ventral hernia	AdiposeVisceralOmentum	0	0	Date K42 first reported (umbilical hernia);Date K43 first reported (ventral hernia);Date K46 first reported (unspecified abdominal hernia);Date K40 first reported (inguinal hernia)	0	0	0	DRUGGABLE GENOME	5	0
CDKN2A	555	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6804009	99.2531082198795	digestive	Inflammatory bowel disease and other gastroenteritis and colitis	0	0	0	0	0	Date K51 first reported (ulcerative colitis)	0	0	Ulcerative colitis	Not druggable	5	0
ZNF501	740	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6828187	99.6058034691862	musculoskeletal	Osteoarthrosis	0	Non-cancer illness code, self-reported: osteoarthritis	BrainFrontalCortexBA9	0	0	Date M17 first reported (gonarthrosis [arthrosis of knee])	0	0	0	Not druggable	5	0
PLXNA1	704	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	1	1.10728347878633	4	6783429	98.9528985982924	dermatologic	Diseases of hair and hair follicles	0	Hair/balding pattern: Pattern 2;Hair/balding pattern: Pattern 3;Hair/balding pattern: Pattern 4	MuscleSkeletal	0	0	Date L68 first reported (hypertrichosis)	0	0	0	Not druggable	5	0
COQ5	427	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6809732	99.3365921685842	circulatory system	Cardiac dysrhythmias	0	Atrial fibrillation and flutter;Cardiac dysrhythmias	ArteryTibial;BreastMammaryTissue;ColonSigmoid;EsophagusGastroesophagealJunction;EsophagusMuscularis;HeartAtrialAppendage;MinorSalivaryGland;Stomach	0	0	Date I48 first reported (atrial fibrillation and flutter)	0	0	0	Not druggable	5	0
NUDCD1	296	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6761431	98.632003979455	mental disorders	Mood disorders	0	Manic/hyper symptoms: All of the above	0	0	0	Date F34 first reported (persistent mood [affective] disorders)	0	0	0	Not druggable	4	0
VNN1	250	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6808885	99.3242366025257	endocrine/metabolic	Diabetes mellitus	0	Eye problems/disorders: Diabetes related eye disease;Type 2 diabetes;Diabetes mellitus	ArteryTibial	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus)	0	0	0	Not druggable	5	0
NPC1	340	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6746845	98.4192315042136	neurological	Migraine	0	Pain type(s) experienced in last month: Headache	0	0	0	Date G43 first reported (migraine)	0	0	0	DRUGGABLE GENOME	4	0
TUBGCP6	296	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	1	0	0	0	1.75774760216583	3	6841443	99.7991746423523	mental disorders	Mood disorders	0	Non-cancer illness code, self-reported: anxiety/panic attacks	BrainCaudatebasalganglia;BrainCortex;BrainNucleusaccumbensbasalganglia	0	0	0	0	0	Bipolar disorder or major depressive disorder	Not druggable	6	0
PPP1R13L	594	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6808085	99.3125666463901	genitourinary	Urinary calculus	0	Urinary calculus	Pancreas	0	0	Date N20 first reported (calculus of kidney and ureter)	0	0	0	Not druggable	5	0
LYNX1	295	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	1	0	1.175961411487	4	6795005	99.1217628635738	mental disorders	Schizophrenia and other psychotic disorders	0	Schizophrenia	Liver;Pancreas	0	Liver;Pancreas;KidneyCortex	Date F29 first reported (unspecified nonorganic psychosis)	0	0	0	Not druggable	5	0
MFN2	939	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	1	0	0	1	1.97944149246805	5	6847139	99.8822647300374	dermatologic	Atopic/contact dermatitis due to other or unspecified	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	MuscleSkeletal;SkinNotSunExposedSuprapubic	0	0	Date L27 first reported (dermatitis due to substances taken internally);Date L24 first reported (irritant contact dermatitis)	0	0	Atopic dermatitis	Not druggable	6	0
HP	573	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	1	0	0	1.35793558143061	3	6823173	99.5326620191066	digestive	Other disorders of liver	0	0	AdiposeVisceralOmentum	0	0	0	0	0	Coronary artery disease	DRUGGABLE GENOME	5	0
SIRT2	747	NA	NA	NA	NA	NA	0	0	0	0	1	1	0	0	0	0	0	1.06968744159571	2	6779240	98.8917917904776	congenital anomalies	Cardiac and circulatory congenital anomalies	0	0	0	0	0	Date Q21 first reported (congenital malformations of cardiac septa)	congenital heart disease	0	0	DRUGGABLE GENOME	5	0
RMDN2	401	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	1	0	0	1.11277915490509	3	6788516	99.0271049318693	circulatory system	Hypertension	0	Non-cancer illness code, self-reported: hypertension;Essential hypertension;Hypertension	0	0	0	Date I12 first reported (hypertensive renal disease);Date I15 first reported (secondary hypertension)	0	0	0	Not druggable	5	0
ZNF124	352	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6776079	98.845680876297	neurological	Disorders of other cranial nerves	0	Trigeminal nerve disorders [CN5]	SkinNotSunExposedSuprapubic	0	0	0	0	0	0	Not druggable	5	0
SPDL1	531	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6820345	99.4914087241675	digestive	Peptic ulcer (excl. esophageal)	0	Duodenal ulcer	HeartAtrialAppendage;HeartLeftVentricle;Lung	0	0	Date K26 first reported (duodenal ulcer)	0	0	0	Not druggable	5	0
SP110	569	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6752825	98.5064644263268	digestive	Other disorders of intestine	0	Other disorders of intestine	0	0	0	Date K63 first reported (other diseases of intestine)	0	0	0	Not druggable	4	0
LONP2	476	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6820110	99.4879806745526	respiratory	Allergic rhinitis	0	Non-cancer illness code, self-reported: hayfever/allergic rhinitis;Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	Prostate;Uterus	0	0	Date J30 first reported (vasomotor and allergic rhinitis)	0	0	0	Not druggable	5	0
CTSE	250	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6757072	98.5684173059614	endocrine/metabolic	Diabetes mellitus	0	Eye problems/disorders: Diabetes related eye disease	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus)	0	0	0	DRUGGABLE GENOME	4	0
CORO2B	315	NA	NA	NA	NA	NA	0	0	0	1	1	0	0	0	0	0	0	0.992945238071303	2	6767622	98.7223148524991	mental disorders	Develomental delays and disorders	0	0	Thyroid	0	0	0	developmental disorder	0	0	Not druggable	4	0
CAST	701	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0.898567740457355	2	6735592	98.2550789837219	dermatologic	Other hypertrophic and atrophic conditions of skin	0	0	0	0	0	Date L72 first reported (follicular cysts of skin and subcutaneous tissue)	0	peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads, 616295 (3)	0	Not druggable	4	0
CHRNE	401	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6771955	98.7855222524182	circulatory system	Hypertension	0	Non-cancer illness code, self-reported: hypertension;Non-cancer illness code, self-reported: essential hypertension;Essential hypertension;Hypertension	ArteryAorta;Lung	0	0	0	0	0	0	DRUGGABLE GENOME	5	0
ADAMTS19	740	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	1	0	0	1.11277915490509	3	6786425	98.99660258402	musculoskeletal	Osteoarthrosis	0	Osteoarthritis; localized;Osteoarthrosis	0	0	0	Date M16 first reported (coxarthrosis [arthrosis of hip]);Date M17 first reported (gonarthrosis [arthrosis of knee])	0	0	0	DRUGGABLE GENOME	5	0
TAF1C	550	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6807543	99.3046602511083	digestive	Abdominal hernia	0	Diagnoses - main ICD10: K40 Inguinal hernia;Inguinal hernia;Abdominal hernia	BrainPutamenbasalganglia;Stomach;AdiposeVisceralOmentum;ColonTransverse;Vagina	0	0	Date K42 first reported (umbilical hernia);Date K43 first reported (ventral hernia)	0	0	0	Not druggable	5	0
SARDH	368	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6772407	98.7921157776348	sense organs	Visual disturbances	0	Visual disturbances	ArteryAorta;CellsEBVtransformedlymphocytes;NerveTibial;BrainCerebellum	0	0	0	0	0	0	Not druggable	5	0
ZNF287	351	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6752973	98.5086233682119	neurological	Other peripheral nerve disorders	0	Other peripheral nerve disorders	0	0	0	Date G56 first reported (mononeuropathies of upper limb)	0	0	0	Not druggable	4	0
PCDHA7	476	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6749665	98.4603680995914	respiratory	Allergic rhinitis	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	0	0	0	Date J30 first reported (vasomotor and allergic rhinitis)	0	0	0	Not druggable	4	0
HUWE1	755	NA	NA	NA	NA	NA	1	0	0	0	0	1	1	0	0	0	1	1.51512743991008	4	6833133	99.6779529729943	congenital anomalies	Congenital anomalies of limbs	Trigonocephaly-short stature-developmental delay syndrome	0	0	0	0	Date Q65 first reported (congenital deformities of hip)	0	intellectual developmental disorder, x-linked, turner type, 309590 (3)	0	Not druggable	6	0
TREM2	550	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	1	0	0	1.11277915490509	3	6786414	98.9964421221232	digestive	Abdominal hernia	0	Non-cancer illness code, self-reported: inguinal hernia	0	0	0	Date K42 first reported (umbilical hernia);Date K43 first reported (ventral hernia)	0	0	0	Not druggable	5	0
CARMIL2	381	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0.898567740457355	2	6734767	98.2430443414571	sense organs	Otitis media and Eustachian tube disorders	0	0	0	0	0	Date H65 first reported (nonsuppurative otitis media)	0	immunodeficiency 58, 618131 (3)	0	Not druggable	4	0
TAMM41	351	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6812113	99.3713248755326	neurological	Other peripheral nerve disorders	0	Other peripheral nerve disorders	BrainSpinalcordcervicalc1	0	0	Date G56 first reported (mononeuropathies of upper limb)	0	0	0	Not druggable	5	0
EFS	427	NA	NA	NA	NA	NA	0	1	1	1	0	1	0	0	0	0	0	2.27014998982645	4	6850866	99.9366321381839	circulatory system	Cardiac dysrhythmias	0	Diagnoses - main ICD10: I48 Atrial fibrillation and flutter;Atrial fibrillation and flutter;Cardiac dysrhythmias	MinorSalivaryGland;Pituitary	Atrial fibrillation and flutter	0	Date I48 first reported (atrial fibrillation and flutter);Date I46 first reported (cardiac arrest)	0	0	0	Not druggable	6	0
HLA-B	530	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	1	0	1	0	1.63604701679199	4	6838246	99.7525385801456	digestive	Diseases of esophagus	0	Non-cancer illness code, self-reported: gastro-oesophageal reflux (gord) / gastric reflux;GERD;Esophagitis, GERD and related diseases;Diseases of esophagus;Esophageal bleeding (varices/hemorrhage)	ArteryTibial;BrainAnteriorcingulatecortexBA24;ColonSigmoid;EsophagusMuscularis;Ovary;SkinNotSunExposedSuprapubic	0	ArteryTibial;BrainAnteriorcingulatecortexBA24;ColonSigmoid;EsophagusMuscularis;SkinNotSunExposedSuprapubic	0	0	0	Gastroesophageal reflux disease	DRUGGABLE GENOME	6	0
ELMO3	340	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753244	98.5125765658528	neurological	Migraine	0	Pain type(s) experienced in last month: Headache	0	0	0	Date G43 first reported (migraine)	0	0	0	Not druggable	4	0
ZNF566	327	NA	NA	NA	NA	NA	0	0	1	1	0	0	0	0	0	1	0	1.18611761244409	3	6795553	99.1297567835267	neurological	Sleep disorders	0	0	NerveTibial	Sleeplessness / insomnia	NerveTibial	0	0	0	0	Not druggable	5	0
KLF13	562	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6742847	98.3609108984262	digestive	Diverticulosis and diverticulitis	0	Diagnoses - main ICD10: K57 Diverticular disease of intestine	0	0	0	Date K57 first reported (diverticular disease of intestine)	0	0	0	Not druggable	4	0
EML4	714	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	0	0	0	1.20748821853404	2	6796865	99.148895511589	musculoskeletal	Rheumatoid arthritis and other inflammatory polyarthropathies	0	0	Lung	0	0	0	0	0	Rheumatoid arthritis [ACPA-positive RA vs ACPA-negative RA]	Not druggable	5	0
BEST4	362	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6746393	98.412637978997	sense organs	Other retinal disorders	0	Eye problems/disorders: Macular degeneration	0	0	0	Date H36 first reported (retinal disorders in diseases classified elsewhere)	0	0	0	Not druggable	4	0
POLDIP2	362	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	0	0	0	1.20748821853404	2	6797610	99.1597631582402	sense organs	Other retinal disorders	0	0	AdiposeSubcutaneous;ArteryAorta	0	0	0	0	0	Advanced age-related macular degeneration [EA]	Not druggable	5	0
NOS3	295	NA	NA	NA	NA	NA	0	0	0	0	1	1	0	0	0	0	0	1.06968744159571	2	6778807	98.8854754267192	mental disorders	Schizophrenia and other psychotic disorders	0	0	0	0	0	Date F20 first reported (schizophrenia)	schizophrenia	0	0	DRUGGABLE GENOME	5	0
MLST8	574	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6811885	99.367998938034	digestive	Cholelithiasis and cholecystitis	0	Cholelithiasis	Liver;Pancreas	0	0	Date K80 first reported (cholelithiasis);Date K81 first reported (cholecystitis)	0	0	0	Not druggable	5	0
FKBPL	389	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	1	0	1.40104679122356	3	6824462	99.5514652359301	sense organs	Hearing loss	0	Hearing difficulty/problems: Yes	0	Hearing difficulty/problems with background noise	Prostate;Thyroid	0	0	0	0	Not druggable	5	0
ARL17A	327	NA	NA	NA	NA	NA	0	0	1	1	0	0	0	0	1	1	0	1.33656497534067	4	6822521	99.5231510048562	neurological	Sleep disorders	0	0	NerveTibial	Daytime dozing / sleeping (narcolepsy)	NerveTibial	0	0	0	0	Not druggable	5	0
IGFN1	743	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6742816	98.3604586876259	musculoskeletal	Osteoporosis, osteopenia and pathological fracture	0	Other specified osteoporosis	0	0	0	Date M81 first reported (osteoporosis without pathological fracture)	0	0	0	Not druggable	4	0
